date,open,high,low,close,volume,marketcap,BCHAIN-DIFF,BCHAIN-AVBLS,BCHAIN-MIREV,BCHAIN-CPTRA,BCHAIN-NTRAN,BCHAIN-HRATE,BCHAIN-CPT,BCHAIN-NTRBL
28/3/19,4087.58,4094.9,4040.27,4069.11,9353915899,71678998915,6.38E+12,1.199629819,7663796.727,20.00020023,383186,47250135.84,20.00020023,2571.718121
27/3/19,3984.24,4087.07,3977.81,4087.07,10897131934,71987847571,6.38E+12,1.207859007,6732627.998,18.37432419,366415,42493410.75,18.37432419,2734.440299
26/3/19,3969.23,3985.08,3944.75,3985.08,10707678815,70184147203,6.38E+12,1.056967818,7474435.697,23.19877246,322191,46933020.83,23.19877246,2176.966216
25/3/19,4024.11,4038.84,3934.03,3963.07,10359818883,69789872373,6.37E+12,0.753646587,7553863.147,33.39964074,226166,47567250.84,33.39964074,1507.773333
24/3/19,4035.16,4040.7,4006.19,4022.17,9144851065,70823042992,6.07E+12,0.840116655,7332990.171,29.14855796,251573,43744504.06,29.14855796,1734.986207
23/3/19,4022.71,4049.88,4015.96,4035.83,9578850549,71056017910,6.07E+12,0.944549,8159271.362,27.33204487,298524,48571483.82,27.33204487,1854.186335
22/3/19,4028.51,4053.91,4021.54,4023.97,9252935969,70840048102,6.07E+12,1.039646357,7340679.564,24.41099645,300712,43141131.59,24.41099645,2102.881119
21/3/19,4083.95,4097.36,4005.15,4029.33,10831212662,70926226882,6.07E+12,0.992002373,8209844.356,26.92105311,304960,48571483.82,26.92105311,1894.161491
20/3/19,4070.79,4089.46,4031.11,4087.48,10175916388,71942444088,6.07E+12,0.909794954,8808259.906,28.90380091,304744,52493404.87,28.90380091,1751.402299
19/3/19,4032.69,4082.22,4023.81,4071.19,9344919956,71647703828,6.07E+12,0.926942733,8136441.823,27.9118431,291505,48571483.82,27.9118431,1810.590062
18/3/19,4029.97,4071.56,4009.12,4032.51,9646954186,70958165407,6.07E+12,0.742798205,7356713.717,32.36708046,227290,44046190.29,32.36708046,1556.780822
17/3/19,4047.72,4054.12,4006.41,4025.23,8221625400,70821939585,6.07E+12,0.788659847,8262301.085,31.50339572,262267,49174856.29,31.50339572,1609
16/3/19,3963.9,4077.04,3961.66,4048.73,9856166973,71227967573,6.07E+12,0.987588412,7615289.199,25.64329461,296970,46157993.94,25.64329461,1940.980392
15/3/19,3926.66,3968.54,3914.02,3960.91,9394210605,69675002377,6.07E+12,1.043826619,7671128.877,25.57648269,299929,46761366.41,25.57648269,1935.025806
14/3/19,3905.58,3946.5,3901.3,3924.37,10480789570,69024696307,6.07E+12,1.163580696,6689724.587,23.39416271,285957,40727641.71,23.39416271,2118.2
13/3/19,3913.05,3926.6,3891.9,3906.72,9469184841,68706700381,6.07E+12,1.004161133,7059132.679,24.71226516,285653,43141131.59,24.71226516,1997.573427
12/3/19,3903.76,3926.89,3863.56,3909.16,9809887079,68743000581,6.07E+12,1.099574324,7036778.89,23.87444872,294741,42839445.35,23.87444872,2075.640845
11/3/19,3953.74,3966.38,3889.24,3905.23,10125901903,68666928025,6.07E+12,0.783473353,6743315.208,31.67704923,212877,41029327.95,31.67704923,1565.272059
10/3/19,3966.17,3966.17,3924.38,3951.6,9713267607,69475297370,6.07E+12,0.882423514,6857453.694,28.63333094,239492,41652968.39,28.63333094,1735.449275
9/3/19,3894.55,3987.24,3892.39,3963.31,10796103518,69674508655,6.07E+12,0.998636589,7261589.552,25.45568159,285264,44067633.23,25.45568159,1953.863014
8/3/19,3913.23,3950.43,3875.23,3901.13,10638638944,68574579320,6.07E+12,1.008441944,7050833.849,24.95667202,282523,42860300.81,24.95667202,1989.598592
7/3/19,3903.38,3939.37,3894.11,3911.48,9584165519,68749421311,6.07E+12,1.235649305,6329827.672,22.78039059,277863,38634637.35,22.78039059,2170.804688
6/3/19,3897.08,3919.51,3871.46,3903.94,9175291529,68609885776,6.07E+12,1.029825181,7175042.501,25.11249808,285716,44973132.54,25.11249808,1917.557047
5/3/19,3759.83,3903.92,3745.18,3896.38,10174126415,68470655400,6.07E+12,1.104753978,6527848.169,21.45991351,304188,41351135.29,21.45991351,2220.350365
4/3/19,3845.09,3867.38,3733.75,3761.56,9029175788,66094551587,6.07E+12,1.003580384,7067388.259,19.98226734,353683,44067633.23,19.98226734,2422.486301
3/3/19,3862.27,3875.48,3836.91,3847.18,7253558152,67592376373,6.07E+12,1.155579258,6412272.242,19.09187124,335864,39841969.77,19.09187124,2544.424242
2/3/19,3855.32,3874.61,3832.13,3864.42,7578786076,67888255371,6.07E+12,1.053071407,7897463.727,22.28265663,354422,48896962.9,22.28265663,2187.790123
1/3/19,3853.76,3907.8,3851.69,3859.58,7661247975,67796965743,6.07E+12,1.130737273,7323163.727,19.90926095,367827,45274965.64,19.90926095,2452.18
28/2/19,3848.26,3906.06,3845.82,3854.79,8399767798,67704774107,6.07E+12,1.125122057,6880165.895,19.96797624,344560,42558467.71,19.96797624,2443.687943
27/2/19,3857.48,3888.8,3787.06,3851.05,8301309684,67631949500,6.07E+12,1.092907348,7851943.736,21.42015598,366568,48595129.79,21.42015598,2276.819876
26/2/19,3878.7,3891.58,3837.99,3854.36,7931218996,67683296223,6.07E+12,1.109526161,6994145.371,20.77670518,336634,43162133.91,20.77670518,2354.083916
25/2/19,3807,3913.71,3807,3882.7,9318796067,68173204651,6.06E+12,1.044065358,7003282.003,21.85479614,320446,41351135.29,21.85479614,2339.021898
24/2/19,4145.46,4210.64,3793.71,3810.43,10794227451,66897483404,6.06E+12,0.982793762,7284470.616,22.19258106,328239,43088722.17,22.19258106,2295.377622
23/2/19,3998.92,4166.29,3968.73,4142.53,8922258316,72720867208,6.06E+12,1.085184228,8191358.181,23.38343671,350306,48813797.14,23.38343671,2162.382716
22/2/19,3952.41,4006.54,3950.82,4005.53,7826525254,70308555857,6.06E+12,1.178449504,6010333.868,20.19635366,297595,35857048.52,20.19635366,2500.798319
21/2/19,4000.26,4010.01,3940.11,3954.12,7775128102,69398333876,6.06E+12,1.1915221,6570511.511,20.90389256,314320,39171565.61,20.90389256,2417.846154
20/2/19,3946.68,4000.49,3926.25,3999.82,8693373948,70194350042,6.06E+12,1.060471256,7813554.818,22.43714089,348242,47005878.73,22.43714089,2232.320513
19/2/19,3911.66,4010.88,3908.15,3947.09,9933626655,69262673238,6.06E+12,1.080017019,7495441.835,21.77173366,344274,46704559,21.77173366,2221.122581
18/2/19,3671.37,3936.67,3669.98,3915.71,9908216640,68704389994,6.06E+12,0.881877836,7287337.696,22.25392699,327463,47909837.94,22.25392699,2059.515723
17/2/19,3633.36,3680.54,3619.18,3673.84,7039512503,64453368779,6.06E+12,1.008760027,6888190.192,20.73900286,332137,45197960.32,20.73900286,2214.246667
16/2/19,3615.27,3652.84,3615.27,3629.79,5934744052,63673369195,6.06E+12,1.101274228,5827623.144,19.63954701,296729,38267606.4,19.63954701,2336.448819
15/2/19,3617.37,3647.8,3608.21,3620.81,6091952231,63509111125,6.06E+12,1.111246972,6456902.218,18.21498413,354483,42486082.7,18.21498413,2514.06383
14/2/19,3631.17,3646.26,3607.7,3616.88,6271044418,63434486052,6.06E+12,1.153285621,7058241.983,20.01480779,352651,46101919.52,20.01480779,2304.908497
