date,close,volume,BCHAIN-DIFF,BCHAIN-AVBLS,BCHAIN-MIREV,BCHAIN-CPTRA,BCHAIN-NTRAN,BCHAIN-HRATE,BCHAIN-CPT,BCHAIN-NTRBL
12/9/18,6351.8,4064230000,7.02E+12,0.941821383,11243810.47,47.32821124,237571,49198606.38,47.32821124,1684.900709
13/9/18,6517.31,4210910000,7.02E+12,0.709051161,13323607.15,57.11545237,233275,58619616.11,57.11545237,1388.541667
14/9/18,6512.71,4076220000,7.02E+12,0.819058953,12063757.56,51.50851401,234209,51641090.38,51.50851401,1582.493243
15/9/18,6543.2,3216300000,7.02E+12,1.057485,10861356.28,48.65109198,223250,46058269.8,48.65109198,1691.287879
16/9/18,6517.18,3273730000,7.02E+12,0.789859057,11509988.85,54.53136078,211071,48849680.09,54.53136078,1507.65
17/9/18,6281.2,3910780000,7.02E+12,0.627328396,11344822.24,63.20833864,179483,48500753.8,63.20833864,1291.244604
18/9/18,6371.3,4180090000,7.02E+12,0.90764783,10912753.53,45.44102704,240152,47105048.66,45.44102704,1778.903704
19/9/18,6398.54,4431340000,7.02E+12,0.936313514,11296243.38,46.24698937,244259,49547532.66,46.24698937,1720.133803
20/9/18,6519.67,4348110000,7.02E+12,0.804437244,12463162.54,49.64671557,251037,54432500.67,49.64671557,1609.211538
21/9/18,6734.95,6531940000,7.03E+12,0.815061117,12472948.47,49.16920329,253674,54756137.2,49.16920329,1647.233766
22/9/18,6721.98,4509660000,7.15E+12,1.012301729,12176819.27,44.59540259,273051,51200543.88,44.59540259,1896.1875
23/9/18,6710.63,4197500000,7.15E+12,0.732038903,13124461.71,58.1920559,225537,55111696.54,58.1920559,1455.077419
24/9/18,6595.41,4177310000,7.15E+12,0.65563344,12679234.03,63.29521426,200319,53333899.87,63.29521426,1335.46
25/9/18,6446.47,4726180000,7.15E+12,0.80711402,12385677.98,52.11292119,237670,52622781.21,52.11292119,1605.878378
26/9/18,6495,4437300000,7.15E+12,0.768240781,13676604.3,54.24791385,252113,60089527.19,54.24791384,1491.792899
27/9/18,6676.75,4606810000,7.15E+12,0.898005353,11369486.09,46.61019931,243927,49422747.22,46.61019931,1754.870504
28/9/18,6644.13,5014430000,7.15E+12,0.877031231,11836751.48,47.59717668,248686,50844984.55,47.59717668,1739.062937
29/9/18,6601.96,4363690000,7.15E+12,0.855168669,13046981.4,51.31778132,254239,54756137.2,51.31778132,1650.902597
30/9/18,6625.56,4002280000,7.15E+12,0.693383605,12571059.9,57.57587925,218339,54045018.54,57.57587925,1436.440789
1/10/18,6589.62,4000970000,7.15E+12,0.626711307,13535231.1,65.00759378,208210,57956171.2,65.00759378,1277.361963
2/10/18,6556.1,3979260000,7.15E+12,0.857105918,13160999.45,54.20064017,242820,56178374.53,54.20064017,1536.835443
3/10/18,6502.59,3887310000,7.15E+12,1.015335803,11407332.66,46.60391163,244772,48711628.55,46.60391163,1786.656934
4/10/18,6576.69,3838410000,7.15E+12,0.838225669,11865841.35,48.97108723,242303,51556103.21,48.97108723,1671.055172
5/10/18,6622.48,3671500000,7.36E+12,0.798640053,12429603.12,51.11760353,243157,55588275.24,51.11760353,1621.046667
6/10/18,6588.31,3259740000,7.45E+12,0.963110885,10814043.71,44.18963673,244719,48176505.21,44.18963673,1882.453846
7/10/18,6602.95,3306630000,7.45E+12,0.92210188,10399267.32,48.4040314,214843,46323562.7,48.4040314,1718.744
8/10/18,6652.23,3979460000,7.45E+12,0.831893479,11727102.62,53.37026919,219731,52623567.23,53.37026919,1547.401408
9/10/18,6642.64,3580810000,7.45E+12,0.965177556,11279998.43,45.47634639,248041,50029447.71,45.47634639,1837.340741
10/10/18,6585.53,3787650000,7.45E+12,0.966413523,10870641.02,46.08898856,235862,48176505.21,46.08898856,1814.323077
11/10/18,6256.24,5181640000,7.45E+12,0.896905521,11916022.17,48.64774612,244945,53364744.23,48.64774612,1701.006944
12/10/18,6274.58,3783500000,7.45E+12,0.920825635,12534246.13,47.75551262,262467,58923571.75,47.75551262,1650.735849
13/10/18,6285.99,3064030000,7.45E+12,1.128503023,10445356.73,42.95424976,243174,48917682.21,42.95424976,1842.227273
14/10/18,6290.93,3085320000,7.45E+12,0.862022191,11117559.49,54.20634865,205097,52252978.72,54.20634865,1454.588652
15/10/18,6596.54,7370770000,7.45E+12,0.957302088,9054868.806,47.34349132,191259,42247089.18,47.34349132,1677.710526
16/10/18,6596.11,4074800000,7.45E+12,0.943760957,13215486.35,49.50640151,266945,60035337.26,49.50640151,1647.808642
17/10/18,6544.43,4088420000,7.45E+12,1.066273815,11259236.32,43.64603349,257967,50029447.71,43.64603349,1910.866667
18/10/18,6476.71,3924080000,7.45E+12,1.049207804,11502916.7,44.1804745,260362,51141213.22,44.1804745,1886.681159
19/10/18,6465.41,3578870000,7.43E+12,0.996208051,11448484.29,45.17058313,253450,49274490.48,45.17058313,1836.594203
20/10/18,6489.19,3379130000,7.18E+12,1.018147845,11629773.63,45.81789742,253826,50702736.58,45.81789742,1787.507042
